date,open,high,low,close,volume
2025-06-27,117.0,118.3,116.9,117.3,5263200
2025-06-26,118.0,118.3,116.6,117.0,4132300
2025-06-25,117.0,119.4,117.0,117.1,6000700
2025-06-24,116.3,117.0,116.3,116.5,4271900
2025-06-23,115.5,116.3,114.5,115.9,4587300
2025-06-20,116.1,116.9,115.8,116.1,4339400
2025-06-19,117.0,117.1,115.7,116.0,5404900
2025-06-18,118.8,119.5,116.4,117.0,6556700
2025-06-17,119.0,119.3,118.2,118.8,4600300
2025-06-16,115.1,119.8,115.0,119.0,8069100
2025-06-13,116.0,116.5,114.9,115.4,6161700
2025-06-12,117.6,117.7,116.5,117.0,4153100
2025-06-11,115.12,117.2,115.12,116.9,6554301
2025-06-10,116.01,116.4,114.72,114.72,3854500
2025-06-09,114.52,115.91,114.02,115.21,4474400
2025-06-06,115.81,115.81,114.02,114.02,5693743
2025-06-05,116.11,116.3,115.51,115.81,5146500
2025-06-04,117.0,117.2,115.51,116.11,7362300
2025-06-03,115.71,117.0,115.31,116.4,5373600
2025-06-02,115.51,116.11,114.62,115.12,4571400
2025-05-30,117.0,117.2,115.51,115.51,4038000
2025-05-29,117.99,117.99,116.11,116.11,2933000
2025-05-28,118.19,118.39,116.5,117.4,4969000
2025-05-27,116.4,118.39,116.4,117.99,5802200
2025-05-26,115.71,116.8,114.02,116.3,4709400
2025-05-23,115.71,116.8,115.02,116.11,6613500
2025-05-22,116.11,116.6,114.62,115.81,8701500
2025-05-21,118.98,118.98,116.01,117.3,8956400
2025-05-20,115.81,118.29,115.81,118.19,9748300
2025-05-19,117.79,119.48,115.61,117.2,10980700
2025-05-16,123.44,123.64,119.87,119.97,8012201
2025-05-15,125.43,125.82,122.55,123.94,8723600
2025-05-14,118.98,125.23,118.98,125.23,13240300
2025-05-13,118.98,119.28,117.59,118.49,10268401
2025-05-12,116.01,117.69,115.71,117.3,9137200
2025-05-09,113.33,115.41,112.54,115.02,8806900
2025-05-08,109.46,113.63,108.08,113.33,13589900
2025-05-07,108.67,110.26,107.98,108.77,4379300
2025-05-06,107.68,110.06,107.68,108.77,6731201
2025-05-05,108.57,108.77,105.99,107.68,7620100
2025-04-29,108.67,109.56,108.17,108.47,6209900
2025-04-28,111.05,111.45,108.27,108.57,4126000
2025-04-25,111.05,111.45,109.26,111.45,6714100
2025-04-24,110.55,112.74,109.66,111.05,8260100
2025-04-23,110.75,110.75,106.79,109.46,7275800
2025-04-22,110.06,110.26,103.12,109.46,10242300
2025-04-21,111.05,111.54,109.07,110.75,4362300
2025-04-18,109.56,114.02,109.56,110.65,8432500
2025-04-17,104.11,110.36,104.01,108.47,12137200
2025-04-16,113.53,114.92,106.98,106.98,18892200
2025-04-15,115.12,116.01,112.74,115.02,7849400
2025-04-14,118.98,118.98,113.03,117.49,9389400
2025-04-11,116.01,117.49,113.33,117.49,19261501
2025-04-10,111.64,111.64,111.64,111.64,2040200
2025-04-09,96.97,107.08,96.97,104.41,18389300
