date,open,high,low,close,volume
2025-05-27,55.9,56.0,55.3,55.4,3680800
2025-05-26,55.4,55.8,55.0,55.7,2729200
2025-05-23,55.2,55.5,55.1,55.3,1666700
2025-05-22,55.4,55.6,55.0,55.0,2665200
2025-05-21,56.0,56.0,55.4,55.4,4464400
2025-05-20,56.1,56.3,55.8,55.9,3224100
2025-05-19,56.2,57.0,56.0,56.0,2795600
2025-05-16,56.8,56.8,56.2,56.2,3198400
2025-05-15,56.2,57.0,56.2,56.8,4092100
2025-05-14,57.0,57.0,56.1,56.2,5034700
2025-05-13,56.89,56.98,56.31,56.5,4720500
2025-05-12,56.02,56.69,56.02,56.6,6328710
2025-05-09,55.73,56.6,55.73,55.73,3832400
2025-05-08,55.24,55.82,55.24,55.44,3370986
2025-05-07,54.95,55.73,54.95,55.24,2905500
2025-05-06,55.05,55.44,54.95,54.95,2552600
2025-05-05,55.53,55.63,54.95,54.95,4238300
2025-04-29,55.53,55.92,55.24,55.63,4938200
2025-04-28,56.31,56.31,55.53,55.53,2664700
2025-04-25,54.57,56.31,54.57,56.31,8517700
2025-04-24,54.57,54.86,54.28,54.38,2106400
2025-04-23,54.86,55.34,54.47,54.47,3586000
2025-04-22,54.66,54.66,52.06,54.08,7202000
2025-04-21,54.86,55.15,54.57,54.76,3021400
2025-04-18,54.76,55.34,54.66,54.66,3137200
2025-04-17,53.6,54.66,52.93,54.08,7219000
2025-04-16,54.47,55.24,54.08,54.08,3735600
2025-04-15,54.76,55.53,54.38,54.38,4163500
2025-04-14,55.92,55.92,54.57,54.95,5679700
2025-04-11,53.7,56.4,53.7,55.53,9164400
2025-04-10,53.7,53.7,53.7,53.7,1914300
2025-03-13,60.17,60.75,59.78,59.88,5100400
2025-03-12,60.36,60.65,60.07,60.07,2755400
2025-03-11,60.17,60.36,59.98,60.27,2287600
2025-03-10,60.85,60.85,60.36,60.36,2579500
2025-03-07,60.75,60.85,60.27,60.56,2655600
2025-03-06,60.56,60.75,60.07,60.75,3175600
2025-03-05,61.42,61.42,60.56,60.56,2275500
2025-03-04,61.04,61.62,60.75,61.33,6042000
2025-03-03,60.65,61.04,60.17,61.04,3660600
2025-02-28,60.17,61.04,60.07,60.07,5468200
2025-02-27,61.04,61.04,60.07,60.07,3570600
2025-01-23,59.49,60.17,59.49,59.88,1858300
2025-01-22,59.88,59.88,59.49,59.49,1760900
2025-01-21,59.88,59.98,59.49,59.69,1975738
2025-01-20,59.88,60.07,59.49,59.78,1633600
2025-01-17,60.07,60.07,59.88,59.88,2303292
2025-01-16,60.17,60.46,59.59,59.78,1684500
2025-01-15,59.98,60.17,59.59,59.59,1216400
2025-01-14,59.3,59.69,59.2,59.49,1235100
2025-01-13,59.11,59.78,59.01,59.3,1601700
2025-01-10,59.59,59.78,59.2,59.2,1720800
2025-01-09,59.69,59.78,59.2,59.69,1500000
2025-01-08,59.88,59.98,59.11,59.59,2084300
2025-01-07,60.46,60.85,59.49,59.59,2802100
2025-01-06,60.85,61.04,60.36,60.36,2103500
2025-01-03,61.04,61.14,60.75,60.85,1856800
2025-01-02,61.42,61.62,60.94,60.94,2336600
2024-12-31,61.23,61.62,61.14,61.23,3349900
2024-12-30,61.42,61.52,61.14,61.14,1490800
2024-12-27,61.72,61.91,61.52,61.62,2819200
2024-12-26,62.0,62.0,61.62,61.62,3886800
2024-12-25,61.72,62.19,61.72,61.72,1382500
2024-12-24,61.72,62.0,61.43,61.62,4725000
2024-12-23,62.0,62.29,61.62,61.72,1367800
2024-12-20,61.33,62.29,61.33,62.29,3799600
2024-12-19,61.72,61.81,61.24,61.24,2646900
2024-12-18,62.29,62.39,62.0,62.0,1614100
2024-12-17,62.19,62.29,61.81,61.91,1204000
2024-12-16,61.52,62.48,61.52,62.29,2387600
2024-12-13,61.62,61.81,61.43,61.52,1396700
2024-12-12,61.52,62.19,61.52,61.91,2249807
2024-12-11,61.24,61.91,61.24,61.52,2024600
2024-12-10,61.43,61.72,61.24,61.24,1711000
2024-12-09,61.81,61.81,61.33,61.43,1762700
2024-12-06,61.81,62.1,61.43,61.43,1677900
2024-12-05,60.85,62.0,60.56,61.62,2218400
2024-12-04,61.14,61.24,60.66,60.66,2745800
2024-12-03,61.91,61.91,61.24,61.24,2425200
2024-12-02,61.91,62.1,61.52,61.81,1229100
