date,open,high,low,close,volume,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,RSI_14,MACD
2007-11-15,2.05,2.05,1.72,2.0,1306330,1.772550644240383,1.81,1.7529999999999997,1.7206666666666666,1.6069999999999998,81.03448275862068,0.09129294954768508
2007-11-16,1.91,1.91,1.91,1.91,248510,1.738188305300479,1.7740000000000002,1.7289999999999999,1.7006666666666665,1.5936666666666668,76.0,0.07680402469998238
2007-11-19,1.81,1.81,1.81,1.81,120480,1.7202353816255984,1.7560000000000002,1.7149999999999999,1.6826666666666665,1.5839999999999999,72.72727272727272,0.06635737480782389
2007-11-20,1.73,1.73,1.73,1.73,58710,1.717794227031998,1.7399999999999998,1.707,1.6646666666666665,1.5773333333333333,72.09302325581393,0.06224027076644578
2007-11-21,1.65,1.8,1.65,1.8,728080,1.6972427837899973,1.718,1.691,1.6433333333333333,1.5686666666666664,88.63636363636363,0.06422549039702963
2007-11-22,1.8,1.8,1.73,1.8,266040,1.6715534797374962,1.6960000000000002,1.6760000000000002,1.6186666666666667,1.561,84.78260869565216,0.05869789086519983
2007-11-23,1.75,1.8,1.73,1.73,106370,1.6569418496718702,1.684,1.6640000000000001,1.5986666666666667,1.558,84.09090909090908,0.050788876322897636
2007-11-26,1.7,1.73,1.69,1.72,135430,1.6411773120898374,1.674,1.6459999999999997,1.5793333333333333,1.5579999999999998,83.72093023255813,0.04708262319693546
2007-11-27,1.7,1.7,1.65,1.65,262120,1.6389716401122967,1.6740000000000002,1.627,1.5673333333333332,1.5596666666666665,80.55555555555554,0.042685440142388176
2007-11-28,1.67,1.69,1.67,1.69,131020,1.6262145501403706,1.6640000000000001,1.6059999999999999,1.5573333333333332,1.5596666666666665,80.55555555555554,0.043579429187058594
2007-11-29,1.69,1.7,1.67,1.69,128110,1.6102681876754632,1.6560000000000001,1.58,1.5446666666666669,1.5596666666666665,67.44186046511626,0.040013874415898876
2007-11-30,1.67,1.67,1.65,1.67,114720,1.5953352345943288,1.6440000000000001,1.556,1.5333333333333334,1.5576666666666665,68.88888888888887,0.034880909971023666
2007-12-03,1.69,1.69,1.67,1.67,68710,1.576669043242911,1.6179999999999999,1.532,1.5226666666666666,1.5576666666666665,68.88888888888887,0.029858385752713712
2007-12-04,1.65,1.67,1.65,1.65,125040,1.5583363040536384,1.58,1.514,1.5126666666666666,1.5556666666666668,65.90909090909089,0.023013514684940395
2007-12-05,1.62,1.65,1.62,1.64,112160,1.5379203800670478,1.548,1.504,1.5033333333333334,1.555,65.90909090909089,0.015978591763019745
2007-12-06,1.69,1.69,1.64,1.65,76580,1.5099004750838094,1.504,1.489,1.4933333333333332,1.5530000000000002,67.44186046511626,0.00778523789885166
2007-12-07,1.62,1.65,1.61,1.61,133400,1.4848755938547615,1.468,1.478,1.4866666666666668,1.5506666666666669,64.1025641025641,-0.003803882675397219
2007-12-10,1.58,1.59,1.54,1.54,156420,1.4710944923184517,1.446,1.475,1.4853333333333334,1.5483333333333333,54.54545454545455,-0.014467758278523535
2007-12-11,1.49,1.52,1.46,1.46,184520,1.4738681153980644,1.448,1.4789999999999999,1.4899999999999998,1.549,38.46153846153846,-0.020741028473372003
2007-12-12,1.39,1.53,1.39,1.48,307780,1.4723351442475805,1.4600000000000002,1.4809999999999999,1.494,1.549,40.0,-0.02030086019882038
2007-12-13,1.48,1.48,1.42,1.43,130410,1.4829189303094756,1.4740000000000002,1.488,1.5033333333333334,1.551,23.80952380952381,-0.021480123816409735
2007-12-14,1.42,1.44,1.42,1.43,81260,1.4961486628868446,1.488,1.496,1.5173333333333332,1.5539999999999998,20.83333333333333,-0.01758194576007588
2007-12-17,1.45,1.46,1.43,1.43,87220,1.5126858286085556,1.504,1.5050000000000001,1.5366666666666666,1.5593333333333335,16.129032258064527,-0.012350715648026922
2007-12-18,1.43,1.47,1.43,1.47,104160,1.5233572857606943,1.5100000000000002,1.511,1.552,1.5623333333333334,14.285714285714292,-0.005494116986494824
2007-12-19,1.51,1.54,1.5,1.54,217360,1.5191966072008676,1.5020000000000002,1.511,1.562,1.5646666666666667,23.333333333333343,-0.0007354166296089648
2007-12-20,1.54,1.55,1.49,1.5,105030,1.5239957590010842,1.5020000000000002,1.518,1.5746666666666664,1.5676666666666668,14.814814814814824,-0.001778160295843767
2007-12-21,1.47,1.53,1.47,1.5,114130,1.529994698751355,1.504,1.532,1.5819999999999999,1.569,14.814814814814824,0.0009895110290105702
2007-12-24,1.52,1.52,1.5,1.51,166920,1.5349933734391936,1.5060000000000002,1.5530000000000002,1.5926666666666667,1.5703333333333334,35.2941176470588,0.00450767317776668
2007-12-25,1.51,1.52,1.5,1.5,109460,1.5437417167989917,1.512,1.573,1.5986666666666667,1.5716666666666668,28.205128205128204,0.007914379437774954
2007-12-26,1.45,1.5,1.45,1.5,157680,1.5546771459987396,1.52,1.592,1.6066666666666667,1.5710000000000002,40.4255319148936,0.013165638999635965
2007-12-27,1.5,1.51,1.5,1.5,86100,1.5683464324984244,1.534,1.611,1.6126666666666667,1.57,37.99999999999998,0.01967665554587117
2007-12-28,1.5,1.51,1.5,1.51,81580,1.5829330406230304,1.56,1.621,1.6146666666666667,1.5663333333333331,42.30769230769229,0.027700874402398767
2008-01-02,1.51,1.53,1.51,1.52,174750,1.5986663007787878,1.6,1.636,1.6113333333333333,1.5603333333333333,48.21428571428571,0.03652159193342275
2008-01-03,1.54,1.54,1.53,1.53,172390,1.6158328759734846,1.6340000000000003,1.6420000000000001,1.6079999999999999,1.5523333333333333,54.83870967741936,0.0462306300630797
2008-01-04,1.54,1.54,1.53,1.54,221230,1.6347910949668556,1.6640000000000001,1.65,1.6039999999999999,1.546,54.83870967741936,0.05693226592946976
2008-01-07,1.56,1.57,1.54,1.57,434240,1.6509888687085692,1.6880000000000002,1.652,1.5986666666666667,1.5373333333333334,57.6271186440678,0.06874515729450636
2008-01-08,1.57,1.64,1.57,1.64,364540,1.6537360858857113,1.682,1.6420000000000001,1.5906666666666667,1.5266666666666666,64.15094339622641,0.07976822725796051
2008-01-09,1.64,1.72,1.58,1.72,595940,1.637170107357139,1.672,1.6170000000000002,1.582,1.5130000000000001,70.83333333333334,0.08555013506938058
2008-01-10,1.7,1.7,1.64,1.7,476150,1.6214626341964236,1.65,1.5950000000000002,1.5726666666666667,1.4989999999999999,60.37735849056603,0.08354013180222042
2008-01-11,1.69,1.74,1.67,1.69,467570,1.6043282927455293,1.6360000000000003,1.574,1.5673333333333332,1.4833333333333334,61.81818181818181,0.08179587116955811
2008-01-14,1.7,1.7,1.67,1.69,283070,1.5829103659319115,1.6160000000000003,1.5539999999999998,1.5606666666666666,1.465666666666667,56.66666666666666,0.07939798401776654
2008-01-15,1.66,1.66,1.61,1.61,306310,1.5761379574148893,1.6020000000000003,1.545,1.5560000000000003,1.4493333333333334,51.85185185185185,0.07518252828558514
2008-01-16,1.64,1.69,1.64,1.67,441980,1.5526724467686113,1.562,1.5370000000000001,1.5479999999999998,1.433,62.2641509433962,0.07685396437599201
2008-01-17,1.66,1.66,1.59,1.59,158820,1.5433405584607638,1.54,1.534,1.5446666666666669,1.421,54.34782608695652,0.07176035786773349
2008-01-18,1.56,1.62,1.56,1.62,141170,1.5241756980759544,1.512,1.5330000000000001,1.5353333333333334,1.4100000000000001,59.09090909090909,0.07236073126457088
2008-01-21,1.61,1.62,1.59,1.59,71040,1.5077196225949427,1.4920000000000002,1.533,1.5273333333333334,1.3996666666666664,61.70212765957447,0.06901996085450413
2008-01-22,1.54,1.56,1.54,1.54,83260,1.4996495282436784,1.488,1.533,1.518,1.392,58.13953488372093,0.06680654173686262
2008-01-23,1.53,1.53,1.47,1.47,119690,1.5070619103045977,1.512,1.541,1.5093333333333334,1.3866666666666667,58.13953488372093,0.06810059163780924
2008-01-24,1.53,1.53,1.48,1.48,95130,1.5138273878807469,1.528,1.547,1.4966666666666668,1.3803333333333334,64.58333333333331,0.07588898854210413
2008-01-25,1.47,1.5,1.47,1.48,82650,1.5222842348509333,1.5540000000000003,1.5470000000000002,1.488,1.3719999999999999,67.92452830188678,0.08370779348479185
2008-01-28,1.51,1.51,1.48,1.49,41020,1.5303552935636666,1.5740000000000003,1.5450000000000002,1.476,1.3613333333333333,62.06896551724136,0.09246986388822509
2008-01-29,1.5,1.52,1.5,1.52,120000,1.532944116954583,1.578,1.5330000000000001,1.4626666666666668,1.3496666666666668,67.79661016949152,0.10129025391023316
2008-01-30,1.59,1.59,1.56,1.59,362700,1.5186801461932287,1.57,1.5080000000000002,1.444,1.3353333333333333,75.47169811320754,0.10802042075417462
2008-01-31,1.51,1.56,1.51,1.56,82360,1.5083501827415355,1.566,1.481,1.4253333333333336,1.32,74.50980392156862,0.1079120821331081
2008-02-01,1.61,1.61,1.58,1.61,192380,1.4829377284269194,1.5400000000000003,1.4549999999999998,1.3993333333333335,1.3013333333333335,83.67346938775509,0.10925871782573826
2008-02-12,1.62,1.62,1.58,1.59,104780,1.456172160533649,1.516,1.427,1.370666666666667,1.2816666666666667,84.90566037735849,0.10429738785050247
2008-02-13,1.58,1.58,1.54,1.54,150700,1.435215200667061,1.4880000000000002,1.405,1.3426666666666667,1.2646666666666666,85.18518518518518,0.09848423740428514
2008-02-14,1.54,1.56,1.54,1.55,102680,1.4065190008338262,1.4460000000000002,1.381,1.3180000000000003,1.247666666666667,87.71929824561403,0.09472295465432334
2008-02-15,1.54,1.55,1.54,1.54,184330,1.3731487510422826,1.3960000000000001,1.355,1.2973333333333332,1.2313333333333332,79.03225806451614,0.0875262198766733
2008-02-18,1.47,1.49,1.47,1.48,209000,1.346435938802853,1.37,1.3290000000000002,1.2846666666666666,1.2173333333333334,70.49180327868854,0.07808564247135719
2008-02-19,1.45,1.48,1.45,1.47,86310,1.315544923503566,1.3380000000000003,1.298,1.2719999999999998,1.2040000000000002,63.63636363636363,0.07100933251080677
2008-02-20,1.4,1.48,1.4,1.4,92170,1.2944311543794575,1.3220000000000003,1.27,1.2660000000000002,1.1933333333333336,59.99999999999999,0.061962706597365136
2008-02-21,1.34,1.34,1.34,1.34,62400,1.2830389429743219,1.3160000000000003,1.254,1.264,1.1846666666666665,52.631578947368425,0.05664191924461082
2008-02-22,1.27,1.29,1.27,1.29,233220,1.2812986787179024,1.3140000000000003,1.248,1.2639999999999998,1.1780000000000002,48.07692307692307,0.055135868198082694
