date,open,high,low,close,volume,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,RSI_14,MACD
2006-01-19,2.2,2.2,2.2,2.2,109350,2.228355768414609,2.2,2.2199999999999998,2.2386666666666666,2.495333333333334,40.00000000000006,-0.16368957824464392
2006-01-20,2.24,2.28,2.24,2.24,157840,2.225444710518261,2.192,2.224,2.2486666666666664,2.515333333333333,42.857142857142925,-0.172002649854472
2006-01-23,2.24,2.24,2.18,2.18,81400,2.2368058881478263,2.196,2.2340000000000004,2.2693333333333334,2.539666666666667,18.181818181818187,-0.18418402271131473
2006-01-24,2.18,2.18,2.16,2.16,66000,2.2560073601847828,2.212,2.246,2.3,2.566,9.756097560975604,-0.19094375282733855
2006-01-25,2.16,2.2,2.16,2.2,57220,2.2700092002309784,2.228,2.252,2.3280000000000003,2.588,8.000000000000014,-0.19475789922521125
2006-01-26,2.22,2.22,2.22,2.22,18750,2.282511500288723,2.24,2.258,2.3573333333333335,2.6109999999999998,8.333333333333343,-0.20086602209340176
2006-01-27,2.2,2.2,2.2,2.2,25630,2.3031393753609035,2.256,2.277,2.389333333333333,2.636,4.0,-0.2077768840510794
2006-02-06,2.2,2.2,2.2,2.2,25190,2.3289242192011295,2.272,2.306,2.424,2.6623333333333337,3.846153846153854,-0.2115390840908633
2006-02-07,2.24,2.24,2.24,2.24,138720,2.3511552740014117,2.28,2.344,2.464,2.689333333333333,3.846153846153854,-0.21326408728213853
2006-02-08,2.28,2.28,2.28,2.28,159300,2.3689440925017644,2.276,2.3779999999999997,2.508666666666666,2.7150000000000003,3.333333333333343,-0.21643652281308068
2006-02-09,2.28,2.28,2.28,2.28,153580,2.3911801156272054,2.276,2.416,2.5559999999999996,2.742,2.81690140845069,-0.22141026383165707
2006-02-10,2.28,2.28,2.24,2.28,128650,2.4189751445340066,2.298,2.456,2.5933333333333337,2.768333333333333,2.6666666666666714,-0.22453805307599728
2006-02-13,2.28,2.28,2.28,2.28,153670,2.4537189306675082,2.34,2.5,2.6353333333333335,2.7953333333333332,18.888888888888914,-0.22526424148494018
2006-02-14,2.28,2.28,2.28,2.28,113260,2.4971486633343853,2.408,2.556,2.677333333333334,2.8223333333333334,17.52577319587631,-0.22291455117802883
2006-02-15,2.28,2.28,2.26,2.26,132600,2.556435829167982,2.4800000000000004,2.625,2.714666666666667,2.853,15.789473684210549,-0.2166730984418903
2006-02-16,2.28,2.28,2.28,2.28,184290,2.6255447864599772,2.556,2.696,2.7520000000000002,2.8876666666666666,23.529411764705927,-0.20351876279042758
2006-02-17,2.33,2.39,2.33,2.39,128090,2.684430983074971,2.614,2.7410000000000005,2.7820000000000005,2.92,25.80645161290326,-0.1858051378274279
2006-02-20,2.49,2.49,2.49,2.49,62050,2.7330387288437135,2.66,2.7830000000000004,2.81,2.9546666666666668,28.915662650602457,-0.17169349086989039
2006-02-21,2.62,2.62,2.62,2.62,101970,2.761298411054642,2.704,2.812,2.8320000000000003,2.9793333333333334,31.16883116883119,-0.16136635615870798
2006-02-22,2.62,2.7,2.62,2.62,264890,2.7966230138183024,2.7700000000000005,2.832,2.848,3.009666666666667,29.62962962962966,-0.15907439358321707
2006-02-23,2.66,2.66,2.66,2.66,130490,2.8307787672728777,2.836,2.85,2.8646666666666665,3.041333333333333,38.37209302325585,-0.15383520653474392
2006-02-24,2.68,2.68,2.68,2.68,90480,2.868473459091097,2.868,2.866,2.8826666666666667,3.0766666666666667,37.07865168539328,-0.14898322297055167
2006-02-27,2.7,2.72,2.7,2.72,162140,2.905591823863871,2.906,2.885,2.900666666666667,3.1093333333333333,37.07865168539328,-0.14265966252359252
2006-02-28,2.74,2.84,2.74,2.84,164820,2.921989779829839,2.9200000000000004,2.896,2.9146666666666667,3.134333333333333,40.74074074074074,-0.13658617755276659
2006-03-01,2.95,2.97,2.95,2.95,164480,2.914987224787298,2.894,2.887,2.9213333333333327,3.1593333333333335,43.42105263157898,-0.1390656759710538
2006-03-02,2.97,2.99,2.97,2.99,222520,2.8962340309841226,2.864,2.879,2.928,3.185666666666667,45.83333333333337,-0.15140764411990748
2006-03-03,2.95,2.95,2.84,2.84,227880,2.910292538730153,2.864,2.8899999999999997,2.9433333333333334,3.2156666666666665,29.508196721311506,-0.16903091773360934
2006-03-06,2.84,2.91,2.82,2.91,200050,2.9103656734126906,2.864,2.8980000000000006,2.9553333333333334,3.243333333333333,35.714285714285765,-0.17379326452442667
2006-03-07,2.91,2.91,2.91,2.91,129210,2.9104570917658634,2.872,2.912,2.9673333333333334,3.2723333333333335,34.48275862068971,-0.18447112148980604
2006-03-08,2.86,2.86,2.82,2.82,163660,2.933071364707329,2.88,2.935,2.991333333333333,3.304333333333333,22.448979591836775,-0.19541673352212907
2006-03-09,2.84,2.86,2.84,2.84,206310,2.9563392058841615,2.8939999999999997,2.96,3.0233333333333334,3.3356666666666666,19.642857142857167,-0.19738125311942722
2006-03-10,2.84,2.86,2.84,2.84,125760,2.985424007355202,2.916,2.983,3.058,3.3729999999999998,15.714285714285737,-0.19905405808733212
2006-03-13,2.91,2.91,2.91,2.91,257130,3.0042800091940016,2.932,3.0010000000000003,3.0993333333333335,3.414333333333333,16.417910447761244,-0.19829383376509657
2006-03-14,2.93,2.95,2.93,2.95,223540,3.0178500114925013,2.952,3.0149999999999997,3.1266666666666665,3.4570000000000003,13.750000000000043,-0.20156650986631508
2006-03-15,2.95,2.95,2.86,2.86,201720,3.057312514365626,2.9899999999999998,3.0469999999999997,3.1713333333333336,3.497333333333333,21.59090909090908,-0.20688448540108784
2006-03-16,2.91,2.95,2.91,2.91,171110,3.094140642957033,3.026,3.088,3.2180000000000004,3.5296666666666665,19.000000000000014,-0.20149929075054507
2006-03-17,2.91,2.95,2.91,2.95,189800,3.1301758036962903,3.05,3.129,3.270666666666666,3.5606666666666666,18.269230769230774,-0.1967858344402078
2006-03-20,2.95,2.99,2.95,2.99,320020,3.165219754620363,3.07,3.183,3.3179999999999996,3.5953333333333335,16.8141592920354,-0.19198013806679315
2006-03-21,3.03,3.05,3.03,3.05,266040,3.1940246932754537,3.0780000000000003,3.214,3.354,3.625,20.720720720720706,-0.18712661086920823
2006-03-22,3.05,3.11,3.05,3.05,173010,3.230030866594317,3.104,3.2619999999999996,3.397333333333333,3.652,27.86885245901641,-0.18431899454255696
2006-03-23,3.07,3.09,3.07,3.09,181330,3.2650385832428963,3.15,3.314,3.4433333333333334,3.6736666666666666,26.356589147286826,-0.17805445160137623
2006-03-24,3.09,3.09,3.07,3.07,137520,3.3137982290536203,3.2079999999999997,3.3810000000000002,3.488,3.689666666666667,23.703703703703724,-0.17154146113315738
2006-03-27,3.09,3.09,3.09,3.09,167410,3.369747786317025,3.2960000000000003,3.442,3.531333333333334,3.6993333333333336,26.27737226277371,-0.15869700477360382
2006-03-28,3.09,3.09,3.09,3.09,130790,3.439684732896281,3.35,3.492,3.5773333333333333,3.7146666666666666,26.27737226277371,-0.14203085131433912
2006-03-29,3.11,3.18,3.11,3.18,284640,3.504605916120351,3.4200000000000004,3.5439999999999996,3.6173333333333333,3.7326666666666664,27.272727272727266,-0.11869287578903265
2006-03-30,3.32,3.32,3.32,3.32,184200,3.550757395150438,3.478,3.59,3.648,3.7513333333333336,30.508474576271183,-0.09634232701616474
2006-03-31,3.36,3.4,3.36,3.36,171770,3.598446743938047,3.554,3.628,3.688,3.7626666666666666,31.578947368421055,-0.0806681018258324
2006-04-03,3.49,3.53,3.49,3.53,259620,3.615558429922559,3.588,3.649,3.7293333333333334,3.7703333333333333,31.30434782608694,-0.06356146382906935
2006-04-04,3.53,3.65,3.36,3.36,242500,3.679448037403198,3.6340000000000003,3.691,3.7873333333333337,3.7823333333333333,16.239316239316224,-0.05811173367568667
2006-04-05,3.53,3.53,3.53,3.53,191790,3.7168100467539977,3.668,3.7159999999999997,3.8233333333333333,3.788,17.59259259259258,-0.03300154379008635
2006-04-06,3.61,3.61,3.61,3.61,234410,3.743512558442497,3.7019999999999995,3.7329999999999997,3.841333333333333,3.789333333333333,30.17241379310343,-0.017780878971882075
2006-04-07,3.7,3.74,3.7,3.74,276750,3.7443906980531207,3.7019999999999995,3.755,3.850666666666667,3.783666666666667,44.262295081967224,-0.006240599455237916
2006-04-10,3.74,3.8,3.7,3.7,190930,3.7554883725664006,3.71,3.8,3.872666666666667,3.7849999999999997,42.37288135593222,-0.004656597607372692
2006-04-11,3.65,3.65,3.59,3.59,152780,3.7968604657080007,3.7479999999999998,3.864,3.896,3.7856666666666663,31.967213114754088,0.001505624352737378
2006-04-12,3.65,3.7,3.65,3.7,134540,3.821075582135,3.7640000000000002,3.9010000000000007,3.9066666666666667,3.784,40.00000000000001,0.02054896039123788
2006-04-13,3.74,3.78,3.74,3.78,182010,3.83134447766875,3.7640000000000002,3.911,3.9040000000000004,3.7783333333333333,46.666666666666664,0.033356288056506145
2006-04-14,3.78,3.78,3.74,3.74,135270,3.854180597085937,3.808,3.925,3.8913333333333333,3.7726666666666664,50.0,0.041072458450263305
2006-04-17,3.74,3.74,3.74,3.74,162080,3.882725746357421,3.8899999999999997,3.9539999999999997,3.8673333333333333,3.771333333333333,56.46258503401361,0.05439640744810914
2006-04-18,3.78,3.78,3.78,3.78,183230,3.9084071829467764,3.9800000000000004,3.97,3.852,3.7670000000000003,62.49999999999998,0.07061139096975122
2006-04-19,3.78,3.82,3.78,3.78,195960,3.9405089786834697,4.038,3.978,3.848,3.7626666666666666,56.497175141242934,0.0862078042505412
2006-04-20,3.78,3.78,3.78,3.78,130410,3.9806362233543364,4.058,3.974,3.8546666666666667,3.76,51.54639175257731,0.1048605673216505
2006-04-21,3.96,3.96,3.96,3.96,378460,3.9857952791929208,4.042,3.933,3.8373333333333335,3.7513333333333336,52.08333333333334,0.12714303120773307
2006-04-24,4.15,4.15,4.15,4.15,202190,3.9447440989911504,4.018,3.8560000000000003,3.8113333333333332,3.734666666666667,61.78010471204188,0.13540693193203923
2006-04-25,4.23,4.32,4.23,4.23,387490,3.8734301237389377,3.96,3.7879999999999994,3.777333333333333,3.716,62.433862433862444,0.12463966439205176
2006-04-26,4.07,4.07,4.07,4.07,282180,3.8242876546736717,3.918,3.7529999999999992,3.752666666666667,3.7036666666666664,59.887005649717516,0.10093832052258378
2006-04-27,4.07,4.07,3.88,3.88,371490,3.81035956834209,3.8899999999999997,3.753,3.7373333333333334,3.6959999999999997,55.62499999999999,0.08550950241249744
2006-04-28,3.88,3.88,3.86,3.88,420830,3.7929494604276117,3.8240000000000003,3.7350000000000003,3.716666666666667,3.6876666666666664,56.96969696969697,0.0839183999896238
2006-05-03,4.03,4.03,4.03,4.03,132570,3.733686825534514,3.694,3.7079999999999997,3.6973333333333334,3.6736666666666666,64.55696202531647,0.08066694344276071
2006-05-04,3.98,3.98,3.94,3.94,217800,3.682108531918143,3.6159999999999997,3.686,3.6753333333333336,3.662,56.02409638554216,0.060070837909234065
2006-05-05,3.94,3.94,3.86,3.86,272950,3.6376356648976778,3.588,3.6700000000000004,3.6613333333333333,3.6496666666666666,57.30994152046784,0.042072596476853796
2006-05-08,3.86,3.86,3.74,3.74,217830,3.6120445811220967,3.6159999999999997,3.661,3.6526666666666667,3.64,52.76073619631902,0.02663378509986103
2006-05-09,3.55,3.55,3.55,3.55,421900,3.627555726402621,3.646,3.6630000000000003,3.6540000000000004,3.6323333333333334,47.972972972972975,0.018759028977228365
2006-05-10,3.38,3.38,3.38,3.38,360820,3.689444658003276,3.722,3.6990000000000003,3.675333333333333,3.6263333333333336,42.96296296296296,0.02778057255921773
2006-05-11,3.55,3.55,3.55,3.55,393040,3.724305822504095,3.7560000000000002,3.7050000000000005,3.6820000000000004,3.619333333333333,44.27480916030533,0.0562003525848227
2006-05-12,3.72,3.72,3.72,3.72,60420,3.725382278130118,3.7520000000000002,3.6980000000000004,3.677333333333334,3.606666666666667,52.94117647058825,0.07434777577990648
2006-05-15,3.88,3.88,3.88,3.88,133080,3.6867278476626466,3.7060000000000004,3.6710000000000003,3.6653333333333338,3.587333333333333,61.16504854368931,0.07911997373755986
